savename=equal_number; dataset=imagenet; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,63.28880071640015,0.10117390300836247,63.38199973106384,63.1060004234314,88.60520005226135,0.026700373461626643,88.64399790763855,88.57600092887878
savename=equal_number; dataset=imagenet; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,62.92880058288574,0.06475279364986611,63.040000200271606,62.84800171852112,88.4171998500824,0.07103190432687052,88.52999806404114,88.31400275230408
savename=equal_number; dataset=imagenetv2; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,55.68400025367737,0.17048117906244678,55.879998207092285,55.390000343322754,82.90799856185913,0.03429249832645247,82.95999765396118,82.85999894142151
savename=equal_number; dataset=imagenetv2; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,55.65000057220459,0.19819097082419276,55.80000281333923,55.26000261306763,82.6800000667572,0.10178317298440781,82.85999894142151,82.56000280380249
savename=equal_number; dataset=caltech256; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,80.97027063369751,0.18335528066260492,81.16628527641296,80.65991401672363,93.37797999382019,0.3185195379772381,93.87454986572266,93.05782318115234
savename=equal_number; dataset=caltech256; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,81.57464861869812,0.3064630297334315,81.81966543197632,81.0356080532074,93.71773958206177,0.3203567921917704,94.08689737319946,93.18850040435791
savename=equal_number; dataset=cifar100; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,64.41999912261963,0.11575852638670489,64.62000012397766,64.28999900817871,88.62800002098083,0.16436592972128888,88.84000182151794,88.35999965667725
savename=equal_number; dataset=cifar100; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,64.29399847984314,0.1822740524615836,64.46999907493591,63.96999955177307,88.60200047492981,0.15091542977870304,88.84999752044678,88.41000199317932
savename=equal_number; dataset=cub; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,53.31032156944275,0.25724962724545125,53.641700744628906,52.916812896728516,84.91888165473938,0.0954116385342122,85.05350351333618,84.7773551940918
savename=equal_number; dataset=cub; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,53.3793580532074,0.33170149547411204,53.81429195404053,52.7959942817688,84.91543054580688,0.14315790451579213,85.13979911804199,84.69105958938599
savename=equal_number; dataset=eurosat; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,36.711851954460144,4.1161234112404275,42.0851856470108,32.31111168861389,86.06518507003784,1.042018566436856,87.20370531082153,84.51481461524963
savename=equal_number; dataset=eurosat; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,39.322221875190735,3.125561496210897,43.05185079574585,34.36296284198761,88.84740710258484,1.3736713775277836,90.85184931755066,86.83333396911621
savename=equal_number; dataset=places365; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,40.85095942020416,0.12459692267569765,40.989041328430176,40.67671298980713,71.6032862663269,0.12512285455179564,71.73424363136292,71.37808203697205
savename=equal_number; dataset=places365; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,40.56602656841278,0.17334121782247144,40.83835482597351,40.29862880706787,71.4257538318634,0.13825753773993804,71.60273790359497,71.25479578971863
savename=equal_number; dataset=food101; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,82.79920816421509,0.1701289401566621,82.99406170845032,82.6019823551178,96.85227751731873,0.06293818400734957,96.92673087120056,96.768319606781
savename=equal_number; dataset=food101; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,83.07405948638916,0.14545686279079006,83.35841298103333,82.96237587928772,97.00514912605286,0.06348544595695854,97.1009910106659,96.91485166549683
savename=equal_number; dataset=pets; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,84.9495780467987,0.27385872955991597,85.1458191871643,84.4099223613739,99.18779015541077,0.19148575847723642,99.37312602996826,98.88253211975098
savename=equal_number; dataset=pets; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,86.3068950176239,0.3028160691085756,86.86290383338928,86.07249855995178,99.28045749664307,0.3047743717421053,99.67293739318848,98.8280177116394
savename=equal_number; dataset=dtd; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,43.968085050582886,0.41557497149411676,44.36170160770416,43.29787194728851,73.86170148849487,0.6098247415180589,74.41489100456238,72.71276712417603
savename=equal_number; dataset=dtd; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,45.59574484825134,0.8539849735419325,47.1808522939682,44.78723406791687,77.2234034538269,0.5974520446739437,78.13829779624939,76.382976770401
savename=equal_number; dataset=flowers102; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,66.22865557670593,0.5293385815287514,67.10034012794495,65.71800112724304,85.08050084114075,0.1578739293702518,85.36347150802612,84.92437601089478
savename=equal_number; dataset=flowers102; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,65.392746925354,1.2492114841104414,66.87266230583191,64.02667164802551,85.2268660068512,0.46462624747527737,85.67246794700623,84.38770771026611
savename=equal_number; dataset=fgvcaircraft; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,26.948694586753845,0.7067981918060853,27.872785925865173,25.952595472335815,64.59046006202698,0.4214960313383711,65.0765061378479,63.96639943122864
savename=equal_number; dataset=fgvcaircraft; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,27.386738657951355,0.6934263862981429,28.08280885219574,26.222622394561768,64.8784875869751,0.8185039819719963,65.70656895637512,63.306331634521484
savename=equal_number; dataset=cars; k=5; mode=random_selection_dclip; reps=5; model_size=ViT-B/32,57.888323068618774,0.372874190512797,58.38826298713684,57.43066668510437,90.60564517974854,0.18771675058492948,90.84690809249878,90.42407870292664
savename=equal_number; dataset=cars; k=5; mode=random_selection_comparative; reps=5; model_size=ViT-B/32,57.10234999656677,0.1832133617890041,57.38092064857483,56.84616565704346,90.1828145980835,0.3312447156765795,90.61062335968018,89.76495265960693
savename=equal_number; dataset=imagenet; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,64.29159998893738,0.03986725194291001,64.32600021362305,64.23799991607666,89.14600014686584,0.01867550855670631,89.17999863624573,89.12799954414368
savename=equal_number; dataset=imagenet; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,65.58159947395325,0.029944148814994045,65.63799977302551,65.55600166320801,89.90919947624207,0.013180896592444705,89.92599844932556,89.89199995994568
savename=equal_number; dataset=imagenetv2; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,56.417999267578125,0.11720194437161956,56.610000133514404,56.269997358322144,83.41199994087219,0.06968445738214525,83.53999853134155,83.3299994468689
savename=equal_number; dataset=imagenetv2; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,57.39799976348877,0.09579053539139992,57.510000467300415,57.23000168800354,84.25600051879883,0.06711264550836163,84.3500018119812,84.14999842643738
savename=equal_number; dataset=caltech256; k=5; shot=32; mode=filtered_dclip; reps=5; model_size=ViT-B/32,81.2152898311615,0.06774365209430745,81.32963180541992,81.13361597061157,94.57366824150085,0.03167419012624074,94.62593793869019,94.52793002128601
savename=equal_number; dataset=caltech256; k=5; shot=32; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,83.51192474365234,0.030295882244156244,83.55112671852112,83.46945643424988,95.18458008766174,0.21556484241339224,95.34465670585632,94.77295279502869
savename=equal_number; dataset=cifar100; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,63.83399963378906,0.1248359237352807,63.98000121116638,63.669997453689575,88.22999954223633,0.11366679106837252,88.40000033378601,88.12000155448914
savename=equal_number; dataset=cifar100; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,64.09800052642822,0.10186253958186647,64.27000164985657,63.95000219345093,87.9479992389679,0.053065232591214484,88.0299985408783,87.88999915122986
savename=equal_number; dataset=cub; k=5; shot=16; mode=filtered_dclip; reps=5; model_size=ViT-B/32,54.238866567611694,0.11002804709162728,54.3665885925293,54.055917263031006,85.7197093963623,0.06781827665870607,85.83016991615295,85.64031720161438
savename=equal_number; dataset=cub; k=5; shot=16; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,56.406627893447876,0.07023584909845496,56.48947358131409,56.33413791656494,87.38350033760071,0.04084213159364974,87.45253682136536,87.33172416687012
savename=equal_number; dataset=eurosat; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,42.84814894199371,0.0,42.84814894199371,42.84814894199371,90.82221984863281,0.0,90.82221984863281,90.82221984863281
savename=equal_number; dataset=eurosat; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,50.292593240737915,0.0,50.292593240737915,50.292593240737915,92.02592372894287,0.0,92.02592372894287,92.02592372894287
savename=equal_number; dataset=places365; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,42.572054862976074,0.06678196518541693,42.63835549354553,42.454794049263,73.365478515625,0.043993235221656386,73.40273857116699,73.30136895179749
savename=equal_number; dataset=places365; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,43.973150849342346,0.03565408617938376,44.024658203125,43.93150806427002,74.88876700401306,0.11278294829854768,75.05479454994202,74.72876906394958
savename=equal_number; dataset=food101; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32,83.60871315002441,0.035983592028913,83.67920517921448,83.58415961265564,97.0439612865448,0.009572322607362972,97.05346822738647,97.02574014663696
savename=equal_number; dataset=food101; k=5; shot=64; mode=filtered_equal_number; reps=5; model_size=ViT-B/32,84.36197996139526,0.07847600214467129,84.45148468017578,84.23762321472168,97.4297022819519,0.03638363144962729,97.47722744941711,97.37029671669006
